bid,name,pattern,subPattern,expected,got,delta,deltaAbs
3928690,Reflec Streamz(gamma) x1.15,speed,low stream,14.6,14.78,-0.18,0.18
3251778,Lalala.Refrain[HD](snowph),speed,low stream,13.8,14.07,-0.27,0.27
3251776,Lalala.Refrain[HD](snowph) x1.1,speed,low stream,14.6,14.96,-0.36,0.36
3989159,Luminous Memory(super10killer),speed,low stream,14,14.13,-0.13,0.13
3989154,Luminous Memory(super11killer) x0.9,speed,low stream,13.4,13.04,0.36,0.36
5430556,Gloom(jesen) x1.25,jack,mid chordjack,13.9,13.80,0.10,0.10
1779696,Gloom(jesen) x1.3,jack,mid chordjack,14.4,14.12,0.28,0.28
3211370,The Truth Never Spoken(rachel) x1.05,jack,mid chordjack,13.4,13.22,0.18,0.18
3260898,The Truth Never Spoken(rachel) x1.1,jack,mid chordjack,13.8,13.79,0.01,0.01
2308947,Vertex Beta(spz cut) x0.9,jack,mid chordjack,14.6,14.20,0.40,0.40
3321440,Valkyrie Revolutia(rachel),jack,mid chordjack,16.4,16.00,0.40,0.40
4704824,M-A[impossible jack](wllk2) x0.85,jack,mid chordjack,13.9,13.84,0.06,0.06
5561111,manual of youth(tsumikiyuzu) x1.3,jack,mid chordjack,14,14.10,-0.10,0.10
3476973,Don't Stop The Music(rg7v3),jack,mid chordjack,6.7,6.71,-0.01,0.01
4262736,oddloop(teradora),speed,mid stream,12.2,12.17,0.03,0.03
4670616,Toromi Hearts 2(rachel),speed,mid stream,14.6,14.67,-0.07,0.07
3163355,Palette(rachel) x1.2,speed,mid stream,14.6,14.66,-0.06,0.06
1631150,Green-Eyed Jealousy[True End](rachel),speed,mid stream,14.6,14.82,-0.22,0.22
3824601,GGF(magikarp),speed,mid stream,10.9,10.64,0.26,0.26
4432306,Hyper Bass(11bit) x1.35,tech,mix tech,15,15.33,-0.33,0.33
4237589,KOKUSHIMUSOU(nate) x1.15,tech,mix tech,14.6,14.97,-0.37,0.37
4432307,Looking for Edge of Ground(evening) x1.15,tech,mix tech,14.6,14.70,-0.10,0.10
2162156,We Could Get More Machinegun Psystyle!(hydria),tech,mix tech,13.5,13.42,0.08,0.08
3853701,We Could Get More Machinegun Psystyle!(hydria) x1.05,tech,mix tech,14,13.98,0.02,0.02
5195211,K.Y.A.F.A[UNSTOPPABLE DOMINATION](evening) x1.227,tech,mix tech,14,14.01,-0.01,0.01
1699242,Trickstarz[STEPMANIA](hi19hi19) x1.3,speed,staircase,15,14.69,0.31,0.31
3755273,Green-Eyed Jealousy(e9v2),speed,staircase,17.6,17.01,0.59,0.59
1158910,Shadows of Cats(wafles) x1.0,tech,stream tech,12.2,10.78,1.42,1.42
5195273,Shadows of Cats(wafles) x1.25,tech,stream tech,14,14.21,-0.21,0.21
4776927,Weird Autumn(emik) x1.2,tech,stream tech,14,14.11,-0.11,0.11
4776929,Weird Autumn(emik) x1.3,tech,stream tech,14.6,14.89,-0.29,0.29
3053763,oddloop(ska),tech,stream tech,11.6,11.35,0.25,0.25
3942033,oddloop(ska) x1.3,tech,stream tech,15,14.88,0.12,0.12
1712332,northern_limit(underjoy),tech,stream tech,15.6,15.32,0.28,0.28
3494225,Kimiyo[Agapimenoi](frolica),tech,stream tech,14.2,13.96,0.24,0.24
3494228,Kimiyo[Eirini](frolica),tech,stream tech,13.6,13.88,-0.28,0.28
2981901,Acquaintance(skwid),tech,stream tech,10,10.74,-0.74,0.74
2981895,Acquaintance(skwid) x1.05,tech,stream tech,11,11.48,-0.48,0.48
2981897,Acquaintance(skwid) x1.1,tech,stream tech,12,12.71,-0.71,0.71
2981896,Acquaintance(skwid) x1.15,tech,stream tech,13,13.28,-0.28,0.28
2981899,Acquaintance(skwid) x1.2,tech,stream tech,13.5,13.78,-0.28,0.28
2981898,Acquaintance(skwid) x1.25,tech,stream tech,14,14.12,-0.12,0.12
2981900,Acquaintance(skwid) x1.3,tech,stream tech,14.3,14.43,-0.13,0.13
3942038,Acquaintance(skwid) x1.35,tech,stream tech,14.6,14.89,-0.29,0.29
4632118,Acquaintance(skwid) x1.4,tech,stream tech,15,15.17,-0.17,0.17
3090567,Crescent Moon Island(shoegazer) x0.9,tech,stream tech,12.2,12.23,-0.03,0.03
3090566,Crescent Moon Island(shoegazer) x0.95,tech,stream tech,13,12.90,0.10,0.10
3262554,Crescent Moon Island(shoegazer) x1.0,tech,stream tech,13.6,13.61,-0.01,0.01
3090568,Crescent Moon Island(shoegazer) x1.05,tech,stream tech,14,14.14,-0.14,0.14
3090570,Crescent Moon Island(shoegazer) x1.1,tech,stream tech,14.4,14.66,-0.26,0.26
3090569,Crescent Moon Island(shoegazer) x1.15,tech,stream tech,14.8,15.05,-0.25,0.25
3090571,Crescent Moon Island(shoegazer) x1.2,tech,stream tech,15.4,15.36,0.04,0.04
5255752,Future Candy(leo137) x1.5,tech,stream tech,15,15.23,-0.23,0.23
4168392,Luminous Story(Magikarp1234),tech,stream tech,12.7,12.41,0.29,0.29
3915895,Playing with Ruby(ska) x1.2,tech,stream tech,13.4,13.35,0.05,0.05
4788540,The Poetic Edda(kilotek),tech,stream tech,14.6,15.02,-0.42,0.42
4432318,Possessed By The Blood(ska) x1.25,tech,stream tech,15.2,15.48,-0.28,0.28
3681342,Heikousen(lynessa) x1.15,tech,stream tech,14.6,14.47,0.13,0.13
3681345,Heikousen(lynessa) x1.2,tech,stream tech,15,14.95,0.05,0.05
3249835,Louder than steel(ska) x1.25,tech,stream tech,14.9,15.06,-0.16,0.16
4507383,Bismuth[Singularity](ababa),tech,stream tech,14.6,15.14,-0.54,0.54
5174997,Bismuth[Supernova](archaic),tech,stream tech,14.4,14.44,-0.04,0.04
5167720,Bismuth[Nebula](eclipse),tech,stream tech,11.4,11.57,-0.17,0.17
3444323,Nostos2021(xingren),tech,stream tech,17,17.16,-0.16,0.16
4130341,Re Aoharu(11bit),tech,stream tech,13.2,13.31,-0.11,0.11
,Various Artists - Dan ~ REFORM ~ 1st Pack (Thaumiel) [~ 1st ~ (Marathon)],course,rc course,1,1.58,-0.58,0.58
,Various Artists - Dan ~ REFORM ~ 1st Pack (Thaumiel) [~ 2nd ~ (Marathon)],course,rc course,2,2.55,-0.55,0.55
,Various Artists - Dan ~ REFORM ~ 1st Pack (Thaumiel) [~ 3rd ~ (Marathon)],course,rc course,3,2.59,0.41,0.41
,Various Artists - Dan ~ REFORM ~ 1st Pack (Thaumiel) [~ 4th ~ (Marathon)],course,rc course,4,4.44,-0.44,0.44
,Various Artists - Dan ~ REFORM ~ 1st Pack (Thaumiel) [~ 5th ~ (Marathon)],course,rc course,5,5.35,-0.35,0.35
,Various Artists - Dan ~ REFORM ~ 2nd Pack (Thaumiel) [~ 6th ~ (Marathon)],course,rc course,6,6.77,-0.77,0.77
,Various Artists - Dan ~ REFORM ~ 2nd Pack (Thaumiel) [~ 7th ~ (Marathon)],course,rc course,7,7.65,-0.65,0.65
,Various Artists - Dan ~ REFORM ~ 2nd Pack (Thaumiel) [~ 8th ~ (Marathon)],course,rc course,8,9.25,-1.25,1.25
,Various Artists - Dan ~ REFORM ~ 2nd Pack (Thaumiel) [~ 9th ~ (Marathon)],course,rc course,9,9.25,-0.25,0.25
,Various Artists - Dan ~ REFORM ~ 2nd Pack (Thaumiel) [~ 10th ~ (Marathon)],course,rc course,10,11.30,-1.30,1.30
,Various Artists - Dan ~ REFORM ~ 2nd Pack (Thaumiel) [~ EXTRA-ALPHA ~ (Marathon)],course,rc course,11,11.39,-0.39,0.39
,Various Artists - Dan ~ REFORM ~ 2nd Pack (Thaumiel) [~ EXTRA-BETA ~ (Marathon)],course,rc course,12,12.67,-0.67,0.67
,Various Artists - Dan ~ REFORM ~ 2nd Pack (Thaumiel) [~ EXTRA-GAMMA ~ (Marathon)],course,rc course,13,13.47,-0.47,0.47
,Various Artists - Dan ~ REFORM ~ 2nd Pack (Thaumiel) [~ EXTRA-DELTA ~ (Marathon)],course,rc course,14,14.28,-0.28,0.28
,Various Artists - Dan ~ REFORM ~ 2nd Pack (Thaumiel) [~ EXTRA-EPSILON ~ (Marathon)],course,rc course,15,15.49,-0.49,0.49
,Various Artists - Dan ~ REFORM ~ FINAL ([GB]Thaumiel) [~ FINAL - ETA ~ ( Marathon )],course,rc course,17,17.17,-0.17,0.17
